subject_id,race,age,income_cat,educ_cat,party,ideo,political_knowledge,y
1,White,45,$50K-100K,College degree,6,3,0.75,4
2,Other Race/Ethnicity,24,<50K,College degree,2,1,0,1
3,White,21,$50K-100K,College degree,3,2,0.75,5
4,White,18,<50K,High school or less,7,2,0.75,7
5,Hispanic/Latino,23,<50K,High school or less,4,4,0.5,4
6,White,21,>100K,High school or less,7,2,0.25,4
7,Hispanic/Latino,20,<50K,High school or less,1,1,0.25,1
8,Hispanic/Latino,43,<50K,Some college,4,3,0.25,2
9,Other Race/Ethnicity,37,<50K,High school or less,4,4,0.25,4
10,White,23,>100K,College degree,2,1,1,5
11,Hispanic/Latino,22,<50K,Some college,4,3,0.5,3
12,White,70,<50K,College degree,7,2,0.75,7
13,White,84,$50K-100K,Some college,6,3,1,7
14,White,59,<50K,Some college,1,3,0.75,2
15,White,69,<50K,High school or less,2,1,1,3
16,Hispanic/Latino,34,<50K,College degree,7,3,0.25,5
17,Black,63,<50K,High school or less,1,1,1,7
18,White,62,<50K,High school or less,4,4,0,4
19,White,73,<50K,High school or less,7,2,0.75,7
20,White,52,<50K,High school or less,7,2,0.25,1
21,White,70,$50K-100K,Post-graduate degree,6,2,0.75,7
22,White,52,>100K,Post-graduate degree,1,1,1,6
23,White,53,Prefer not to say,High school or less,4,4,0,7
24,White,66,>100K,College degree,3,2,1,7
25,White,69,$50K-100K,High school or less,1,1,0.5,7
26,White,36,<50K,Some college,4,4,0,4
27,White,72,<50K,High school or less,7,2,0.75,7
28,White,72,<50K,Some college,7,3,1,3
29,Other Race/Ethnicity,58,$50K-100K,College degree,7,2,0.75,1
30,White,54,<50K,College degree,1,1,0.75,4
31,White,37,<50K,College degree,6,2,0.75,6
32,White,83,<50K,College degree,4,3,0.75,5
33,White,78,>100K,Post-graduate degree,7,2,1,7
34,Other Race/Ethnicity,38,$50K-100K,College degree,3,3,0.5,6
35,White,56,$50K-100K,Some college,5,3,1,5
36,White,59,<50K,Some college,1,2,0.5,1
37,White,72,<50K,Some college,3,3,0.5,7
38,White,63,$50K-100K,Post-graduate degree,7,2,0.75,7
39,White,88,>100K,Post-graduate degree,6,2,1,4
40,Other Race/Ethnicity,64,<50K,Post-graduate degree,2,3,0.75,5
41,White,60,$50K-100K,College degree,5,2,0.5,3
42,White,64,<50K,College degree,4,3,1,1
43,White,61,<50K,Some college,7,2,1,7
44,Other Race/Ethnicity,63,Prefer not to say,Post-graduate degree,2,3,0.75,5
45,White,36,<50K,College degree,7,2,0.25,7
46,White,70,<50K,College degree,2,1,1,5
47,White,65,<50K,High school or less,6,2,0,6
48,White,56,<50K,College degree,7,3,0.5,4
49,White,70,<50K,Some college,7,2,0.75,7
50,White,43,<50K,High school or less,5,1,0.5,3
51,White,78,>100K,Post-graduate degree,4,3,1,4
52,White,61,<50K,Some college,3,2,0.5,7
53,Other Race/Ethnicity,42,$50K-100K,College degree,1,1,1,4
54,White,67,$50K-100K,Some college,7,2,1,7
55,White,40,<50K,Some college,2,1,0.25,2
56,White,68,<50K,Some college,7,3,1,7
57,White,45,$50K-100K,High school or less,7,2,0.25,6
58,White,72,<50K,Some college,4,2,0.75,7
59,White,69,<50K,College degree,7,2,1,6
60,White,39,<50K,Some college,7,2,0.75,7
61,White,45,$50K-100K,College degree,4,3,1,7
62,White,57,$50K-100K,High school or less,3,2,0.75,7
63,White,63,<50K,High school or less,4,4,0.75,1
64,White,62,$50K-100K,College degree,2,3,0.75,2
65,White,65,<50K,High school or less,2,1,0.75,6
66,White,56,Prefer not to say,College degree,6,2,0.75,7
67,White,71,<50K,College degree,5,3,0.75,4
68,White,37,<50K,High school or less,1,3,0.75,2
69,White,56,<50K,College degree,2,3,1,6
70,White,62,$50K-100K,High school or less,1,2,0.25,1
71,White,74,$50K-100K,High school or less,6,2,0.75,7
72,White,64,$50K-100K,College degree,2,3,1,4
73,White,68,<50K,Some college,2,1,1,4
74,Other Race/Ethnicity,38,<50K,College degree,3,3,0.75,3
75,White,77,<50K,College degree,3,2,1,7
76,White,72,>100K,College degree,2,3,1,7
77,White,72,>100K,High school or less,4,2,0.75,7
78,White,53,$50K-100K,College degree,1,3,0.25,7
79,White,62,>100K,Some college,7,3,0.75,7
80,Hispanic/Latino,70,$50K-100K,High school or less,2,3,0.75,2
81,White,29,<50K,College degree,7,2,0.25,7
82,White,78,<50K,High school or less,1,3,0.5,5
83,White,74,$50K-100K,Post-graduate degree,7,2,1,7
84,White,67,<50K,Some college,1,1,1,4
85,White,36,>100K,College degree,7,2,0.25,7
86,White,59,>100K,College degree,4,3,0.75,7
87,Other Race/Ethnicity,43,<50K,College degree,2,3,0.25,4
88,White,35,<50K,High school or less,4,4,0.75,4
89,Other Race/Ethnicity,56,<50K,College degree,2,2,0.75,5
90,White,69,<50K,Some college,7,2,0.5,7
91,White,75,Prefer not to say,College degree,1,3,1,2
92,White,22,<50K,Some college,7,2,0,1
93,Hispanic/Latino,44,<50K,High school or less,4,4,0.75,1
94,White,63,>100K,Some college,6,2,0.75,7
95,Black,60,<50K,Some college,1,4,0.75,4
96,Hispanic/Latino,39,<50K,College degree,6,3,0.25,6
97,Other Race/Ethnicity,21,<50K,High school or less,2,1,0.5,2
98,Hispanic/Latino,30,>100K,High school or less,6,2,1,7
99,White,45,<50K,College degree,5,1,1,3
100,Black,51,<50K,High school or less,4,2,0.5,4
101,Hispanic/Latino,59,<50K,High school or less,1,1,0.25,6
102,White,61,>100K,College degree,3,3,1,6
103,Hispanic/Latino,41,<50K,Some college,1,1,0.75,1
104,White,39,<50K,Some college,7,2,0,4
105,Black,25,<50K,College degree,1,1,0.25,1
106,Other Race/Ethnicity,31,<50K,College degree,1,1,0.75,1
107,Hispanic/Latino,41,<50K,Some college,4,3,0.5,1
108,White,66,$50K-100K,College degree,3,3,1,7
109,White,39,<50K,Some college,7,2,0.25,2
110,White,75,$50K-100K,College degree,1,1,0.75,7
111,White,56,<50K,High school or less,2,4,0.25,4
112,White,75,<50K,Some college,4,1,1,7
113,Black,19,<50K,High school or less,5,3,0.75,7
114,White,72,$50K-100K,Post-graduate degree,5,1,1,4
115,Black,27,$50K-100K,College degree,4,3,0.5,2
116,Hispanic/Latino,24,$50K-100K,College degree,1,1,0.25,4
117,White,29,>100K,Post-graduate degree,7,1,0.75,1
118,Hispanic/Latino,58,$50K-100K,Some college,2,3,0.25,4
119,White,76,$50K-100K,Post-graduate degree,7,2,0.75,7
120,Hispanic/Latino,29,$50K-100K,High school or less,1,3,0.25,2
121,Hispanic/Latino,23,$50K-100K,Some college,1,1,0,4
122,Other Race/Ethnicity,23,<50K,Some college,1,1,0.25,3
123,White,49,<50K,High school or less,7,2,0.5,7
124,White,51,$50K-100K,High school or less,4,3,1,2
125,Black,56,<50K,High school or less,1,3,0.5,1
126,Black,58,$50K-100K,College degree,1,1,0.75,2
127,Hispanic/Latino,45,<50K,High school or less,4,2,0.25,1
128,Hispanic/Latino,21,<50K,Some college,1,1,0.25,3
129,Other Race/Ethnicity,52,$50K-100K,College degree,4,2,0.75,5
130,White,73,$50K-100K,College degree,1,4,1,6
131,Black,51,<50K,High school or less,1,2,0.75,1
132,Black,30,<50K,Some college,4,4,0.25,4
133,White,67,<50K,High school or less,4,3,0.75,7
134,White,60,$50K-100K,Post-graduate degree,7,2,1,3
135,White,40,<50K,Some college,5,4,1,4
136,White,67,<50K,College degree,6,3,0.75,6
137,White,77,$50K-100K,Post-graduate degree,1,1,0.75,2
138,Black,60,<50K,Some college,4,4,0.5,4
139,White,66,<50K,High school or less,6,2,1,7
140,White,71,<50K,College degree,1,1,0.75,7
141,White,61,Prefer not to say,College degree,2,3,1,7
142,White,79,Prefer not to say,College degree,2,2,1,7
143,White,62,<50K,High school or less,6,2,0.75,7
144,White,67,<50K,College degree,7,3,0.75,7
145,White,50,<50K,High school or less,6,2,1,3
146,White,53,<50K,High school or less,6,4,0.5,7
147,Other Race/Ethnicity,63,>100K,College degree,4,3,0.5,4
148,White,64,$50K-100K,Some college,2,3,1,4
149,Hispanic/Latino,35,<50K,Post-graduate degree,5,1,1,1
150,Hispanic/Latino,35,$50K-100K,College degree,2,2,0.25,2
151,White,66,<50K,Some college,6,2,0.75,7
152,White,26,<50K,High school or less,4,3,0.25,1
153,Other Race/Ethnicity,33,<50K,High school or less,1,3,0.25,4
154,White,55,$50K-100K,College degree,1,2,0.75,1
155,White,21,<50K,High school or less,7,2,0.75,3
156,Hispanic/Latino,25,<50K,Some college,4,3,0.25,4
157,White,60,$50K-100K,College degree,7,3,0.25,1
158,White,20,>100K,Post-graduate degree,4,4,0,1
159,White,36,<50K,High school or less,7,1,0.5,1
160,Other Race/Ethnicity,31,<50K,High school or less,1,3,0,3
161,White,18,<50K,High school or less,4,4,0.5,7
162,Black,26,$50K-100K,Some college,7,1,0,1
163,Black,20,<50K,High school or less,1,2,0,3
164,White,52,<50K,Some college,4,3,0.5,7
165,Black,31,$50K-100K,College degree,1,1,0.25,7
166,Black,21,<50K,High school or less,2,3,0.25,3
167,White,43,<50K,High school or less,4,2,0.5,7
168,Hispanic/Latino,47,$50K-100K,High school or less,1,3,0,4
169,Hispanic/Latino,26,<50K,Some college,4,3,0.25,1
170,White,19,$50K-100K,Some college,6,3,0.25,7
171,Hispanic/Latino,28,$50K-100K,Some college,5,1,0.5,1
172,White,72,$50K-100K,High school or less,1,1,1,6
173,White,27,$50K-100K,College degree,1,3,1,1
174,White,31,>100K,College degree,1,1,0.25,3
175,White,35,>100K,Post-graduate degree,7,1,1,1
176,White,36,>100K,College degree,2,2,0.25,3
177,White,54,$50K-100K,College degree,4,4,0.5,7
178,White,57,<50K,Some college,6,2,0.5,7
179,White,52,$50K-100K,College degree,2,3,0.5,3
180,White,58,>100K,College degree,6,2,0.75,5
181,White,56,$50K-100K,Some college,7,2,0.5,4
182,White,42,$50K-100K,Some college,6,3,0.5,4
183,White,35,$50K-100K,High school or less,2,1,0.25,1
184,White,47,<50K,High school or less,5,3,0.25,7
185,White,58,$50K-100K,College degree,7,2,0.75,7
186,White,49,$50K-100K,Some college,1,3,1,4
187,White,74,$50K-100K,High school or less,3,3,1,7
188,White,69,<50K,High school or less,7,2,1,7
189,White,39,<50K,Some college,1,3,0.5,4
190,White,58,<50K,Some college,1,1,1,3
191,White,60,<50K,High school or less,7,2,0.75,7
192,White,70,$50K-100K,Post-graduate degree,2,1,0.75,5
193,White,67,<50K,College degree,7,2,1,7
194,White,67,<50K,High school or less,7,2,0,7
195,White,77,$50K-100K,Some college,4,3,0.5,7
196,White,56,<50K,College degree,1,1,1,6
197,White,58,$50K-100K,College degree,7,2,0.75,4
198,White,64,<50K,College degree,6,1,1,7
199,White,36,<50K,College degree,5,3,0.25,4
200,White,59,$50K-100K,Post-graduate degree,1,1,1,4
201,White,70,$50K-100K,Some college,7,2,0.5,7
202,White,77,Prefer not to say,Some college,6,2,1,7
203,White,56,<50K,College degree,7,2,1,4
204,White,61,<50K,Some college,1,3,1,7
205,White,59,>100K,Post-graduate degree,7,2,0.75,7
206,White,80,>100K,College degree,6,3,0.75,6
207,White,72,<50K,College degree,3,3,1,7
208,White,59,$50K-100K,Some college,4,2,0.25,7
209,White,65,<50K,College degree,6,4,1,7
210,White,67,$50K-100K,Post-graduate degree,1,3,1,4
211,Hispanic/Latino,35,Prefer not to say,Some college,7,2,0,7
212,White,81,<50K,High school or less,1,1,1,2
213,White,55,<50K,Post-graduate degree,3,3,0.25,7
214,Black,33,>100K,College degree,7,2,1,7
